City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6001,-73.9662,70.0,18,87,4.0,US,1619290801
Revda,56.801,59.9303,44.6,39,0,8.95,RU,1619290820
Cidreira,-30.1811,-50.2056,73.62,72,8,12.46,BR,1619290821
Punta Arenas,-53.15,-70.9167,51.8,71,75,16.11,CL,1619290643
Östersund,63.1792,14.6357,33.01,51,61,12.66,SE,1619290821
Vaini,-21.2,-175.2,69.8,100,20,6.44,TO,1619290821
Port Hardy,50.6996,-127.4199,48.2,87,90,3.44,CA,1619290822
Busselton,-33.65,115.3333,52.0,89,0,1.95,AU,1619290822
Dikson,73.5069,80.5464,7.11,95,14,12.24,RU,1619290822
Okhotsk,59.3833,143.3,12.69,72,46,16.42,RU,1619290823
Ushuaia,-54.8,-68.3,55.4,58,75,12.66,AR,1619290823
Geraldton,-28.7667,114.6,59.0,94,91,1.14,AU,1619290823
Hilo,19.7297,-155.09,71.6,83,90,6.91,US,1619290654
Hobart,-42.8794,147.3294,48.99,76,40,10.36,AU,1619290775
Nsanje,-16.92,35.262,72.59,76,8,3.71,MW,1619290824
Yellowknife,62.456,-114.3525,19.0,57,75,12.66,CA,1619290810
Usinsk,65.9939,57.5281,38.07,88,99,8.7,RU,1619290824
Barrow,71.2906,-156.7887,21.2,93,1,3.44,US,1619290824
Castro,-24.7911,-50.0119,72.99,53,65,5.08,BR,1619290825
Chokurdakh,70.6333,147.9167,-13.83,97,5,4.36,RU,1619290825
São Filipe,14.8961,-24.4956,72.23,74,55,13.67,CV,1619290825
Mataura,-46.1927,168.8643,48.0,88,86,4.0,NZ,1619290825
Tongren,27.7172,109.1853,57.31,91,100,7.25,CN,1619290826
Ampanihy,-24.7,44.75,72.07,69,5,6.17,MG,1619290826
Cape Town,-33.9258,18.4232,63.0,82,0,11.5,ZA,1619290780
Gubkinskiy,64.434,76.5026,33.71,97,100,5.79,RU,1619290826
Bonavista,48.6499,-53.1147,50.0,53,83,11.5,CA,1619290827
Mehamn,71.0357,27.8492,32.7,72,100,9.04,NO,1619290827
Butaritari,3.0707,172.7902,82.47,76,52,12.12,KI,1619290827
Saint-Philippe,-21.3585,55.7679,77.0,88,75,27.63,RE,1619290828
Campoverde,-8.4753,-74.8058,87.8,62,75,6.91,PE,1619290828
Santa Cruz,30.4202,-9.5982,69.8,46,20,16.11,MA,1619290828
Half Moon Bay,37.4636,-122.4286,64.0,71,75,10.36,US,1619290829
Airai,-8.9266,125.4092,57.27,92,51,2.75,TL,1619290829
Hermanus,-34.4187,19.2345,62.01,81,100,1.99,ZA,1619290829
Katangli,51.7102,143.2326,21.94,86,6,7.54,RU,1619290829
Lagoa,39.05,-27.9833,58.86,83,35,26.91,PT,1619290830
Iqaluit,63.7506,-68.5145,35.6,75,75,4.61,CA,1619290830
Aasiaat,68.7098,-52.8699,34.29,79,16,11.56,GL,1619290830
New Norfolk,-42.7826,147.0587,48.99,86,100,2.48,AU,1619290831
Severo-Kuril'sk,50.6789,156.125,34.84,96,100,4.54,RU,1619290831
Wajima,37.4,136.9,53.55,78,100,6.11,JP,1619290831
Alice Springs,-23.7,133.8833,48.2,71,0,5.75,AU,1619290737
Eyrarbakki,63.863,-21.1481,46.4,76,90,13.8,IS,1619290832
Avarua,-21.2078,-159.775,80.6,74,20,13.8,CK,1619290832
Bambous Virieux,-20.3428,57.7575,79.0,83,75,17.27,MU,1619290832
Kawalu,-7.3817,108.2082,70.47,96,100,1.36,ID,1619290832
Port Elizabeth,-33.918,25.5701,59.0,94,0,6.91,ZA,1619290797
Berlevåg,70.8578,29.0864,33.93,70,99,14.03,NO,1619290833
